video_id,frame_idx,anomaly
test_anomaly_01,23,1
test_anomaly_01,24,1
test_anomaly_01,25,1
test_anomaly_01,26,1
test_anomaly_01,27,1
test_anomaly_01,28,1
test_anomaly_01,29,1
test_anomaly_01,30,1
test_anomaly_01,31,1
test_anomaly_01,32,1
test_anomaly_01,33,1
test_anomaly_01,34,1
test_anomaly_01,35,1
test_anomaly_01,36,1
test_anomaly_01,37,1
test_anomaly_01,38,1
test_anomaly_01,39,1
